<ID|readonly|noverify>;<Chinese>;<max_chars>;;;;;;;;;;;;;;;;;;;
unic_enterprise_1;“企\t业”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_enterprise_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_yorktown;“约\t克\t城”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_yorktown_0;“约\t克\t城”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_yorktown_1;“约\t克\t城”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_yorktown_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_soryu;“苍\t龙”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_soryu_0;“苍\t龙”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_soryu_1;“苍\t龙”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_soryu_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_hiryu;“飞\t龙”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_hiryu_0;“飞\t龙”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_hiryu_1;“飞\t龙”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_hiryu_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_kaga;“加\t贺”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_kaga_0;“加\t贺”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_kaga_1;“加\t贺”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_kaga_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_akagi;“赤\t城”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_akagi_0;“赤\t城”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_akagi_1;“赤\t城”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_akagi_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_shokaku;“翔\t鹤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_shokaku_0;“翔\t鹤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_shokaku_1;“翔\t鹤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_shokaku_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_zuikaku;“瑞\t鹤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_zuikaku_0;“瑞\t鹤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_zuikaku_1;“瑞\t鹤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_zuikaku_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_saratoga;“萨\t拉\t托\t加”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_saratoga_0;“萨\t拉\t托\t加”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_saratoga_1;“萨\t拉\t托\t加”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_saratoga_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_zuiho;“瑞\t凤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_zuiho_0;“瑞\t凤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_zuiho_1;“瑞\t凤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_zuiho_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_wasp;“黄\t蜂”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_wasp_0;“黄\t蜂”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_wasp_1;“黄\t蜂”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_wasp_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_lexington;“列\t克\t星\t敦”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_lexington_0;“列\t克\t星\t敦”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_lexington_1;“列\t克\t星\t敦”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_lexington_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_shoho;“祥\t凤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_shoho_0;“祥\t凤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_shoho_1;“祥\t凤”\t号\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_shoho_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
unic_wheeler_hangar;机\t库;;;;;;;;;;;;;;;;;;;;
unic_wheeler_hangar_0;机\t库;;;;;;;;;;;;;;;;;;;;
unic_wheeler_hangar_1;机\t库;;;;;;;;;;;;;;;;;;;;
unic_wheeler_hangar_2;机\t库;;;;;;;;;;;;;;;;;;;;
ships/fishboat1_0;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat1_1;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat1_2;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat2_0;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat2_1;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat2_2;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat3_0;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat3_1;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat3_2;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat4_0;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat4_1;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat4_2;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat5_0;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat5_1;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat5_2;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat6_0;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat6_1;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat6_2;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat7_0;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat7_1;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/fishboat7_2;渔\t船;;;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_0;【战\t列\t舰\t】\t“提\t尔\t皮\t茨”\t号;;;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_1;【战\t列\t舰\t】\t“提\t尔\t皮\t茨”\t号;;;;;;;;;;;;;;;;;;;;
ships/germ_bb_tirpitz_2;战\t列\t舰;;;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_0;【驱\t逐\t舰\t】\tZ 28 号;;;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_1;【驱\t逐\t舰\t】\tZ 28 号;;;;;;;;;;;;;;;;;;;;
ships/germ_dd_z28_2;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/hms_cv_illustrious_0;【航\t空\t母\t舰\t】\t“光\t辉”\t号;;;;;;;;;;;;;;;;;;;;
ships/hms_cv_illustrious_1;【航\t空\t母\t舰\t】\t“光\t辉”\t号;;;;;;;;;;;;;;;;;;;;
ships/hms_cv_illustrious_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
ships/hms_leander_0;【轻\t巡\t洋\t舰\t】\t利\t安\t德\t尔\t级;;;;;;;;;;;;;;;;;;;;
ships/hms_leander_1;【轻\t巡\t洋\t舰\t】\t利\t安\t德\t尔\t级;;;;;;;;;;;;;;;;;;;;
ships/hms_leander_2;轻\t巡\t洋\t舰;;;;;;;;;;;;;;;;;;;;
ships/ijn_ca_nagara_0;【轻\t巡\t洋\t舰\t】\t长\t良\t级;;;;;;;;;;;;;;;;;;;;
ships/ijn_ca_nagara_1;【轻\t巡\t洋\t舰\t】\t长\t良\t级;;;;;;;;;;;;;;;;;;;;
ships/ijn_ca_nagara_2;轻\t巡\t洋\t舰;;;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_story_0;【航\t空\t母\t舰\t】\t“瑞\t鹤”\t号;;;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_story_1;【航\t空\t母\t舰\t】\t“瑞\t鹤”\t号;;;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_story_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_0;【航\t空\t母\t舰\t】\t“瑞\t鹤”\t号;;;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_1;【航\t空\t母\t舰\t】\t“瑞\t鹤”\t号;;;;;;;;;;;;;;;;;;;;
ships/ijn_cv_zuikaku_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
ships/ijn_cvl_ryujo_0;【轻\t型\t航\t空\t母\t舰\t】\t“龙\t骧”\t号;;;;;;;;;;;;;;;;;;;;
ships/ijn_cvl_ryujo_1;【轻\t型\t航\t空\t母\t舰\t】\t“龙\t骧”\t号;;;;;;;;;;;;;;;;;;;;
ships/ijn_cvl_ryujo_2;轻\t型\t航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
ships/ijn_dd_shiratsuyu_light_0;【驱\t逐\t舰\t】\t白\t露\t级;;;;;;;;;;;;;;;;;;;;
ships/ijn_dd_shiratsuyu_light_1;【驱\t逐\t舰\t】\t白\t露\t级;;;;;;;;;;;;;;;;;;;;
ships/ijn_dd_shiratsuyu_light_2;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_0;【登\t陆\t艇\t】\t特\t大\t发\t动\t机\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_1;【登\t陆\t艇\t】\t特\t大\t发\t动\t机\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_2;登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_lite_0;【登\t陆\t艇\t】\t大\t发\t动\t机\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_lite_1;【登\t陆\t艇\t】\t大\t发\t动\t机\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_lcvp_lite_2;登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_0;巡\t逻\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_1;巡\t逻\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_2;巡\t逻\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_lite_0;巡\t逻\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_lite_1;巡\t逻\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_patrol_boat_lite_2;巡\t逻\t艇;;;;;;;;;;;;;;;;;;;;
ships/ijn_brander_0;【自\t爆\t船\t】\t火\t船;;;;;;;;;;;;;;;;;;;;
ships/ijn_brander_1;【自\t爆\t船\t】\t火\t船;;;;;;;;;;;;;;;;;;;;
ships/ijn_brander_2;【自\t爆\t船\t】\t火\t船;;;;;;;;;;;;;;;;;;;;
ships/ital_cv_aquila_0;【航\t空\t母\t舰\t】\t“天\t鹰”\t号;;;;;;;;;;;;;;;;;;;;
ships/ital_cv_aquila_1;【航\t空\t母\t舰\t】\t“天\t鹰”\t号;;;;;;;;;;;;;;;;;;;;
ships/ital_cv_aquila_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_brooklyn_0;【轻\t巡\t洋\t舰\t】\t布\t鲁\t克\t林\t级;;;;;;;;;;;;;;;;;;;;
ships/uss_brooklyn_1;【轻\t巡\t洋\t舰\t】\t布\t鲁\t克\t林\t级;;;;;;;;;;;;;;;;;;;;
ships/uss_brooklyn_2;轻\t巡\t洋\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_story_0;【航\t空\t母\t舰\t】\t“黄\t蜂”\t号;;;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_story_1;【航\t空\t母\t舰\t】\t“黄\t蜂”\t号;;;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_story_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_0;【航\t空\t母\t舰\t】\t“黄\t蜂”\t号;;;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_1;【航\t空\t母\t舰\t】\t“黄\t蜂”\t号;;;;;;;;;;;;;;;;;;;;
ships/uss_cv_wasp_2;航\t空\t母\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_georgetown_0;【驱\t逐\t舰\t】\t“佐\t治\t敦”\t号;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_georgetown_1;【驱\t逐\t舰\t】\t“佐\t治\t敦”\t号;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_georgetown_2;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_0;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_1;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_2;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_less_weapon_0;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_less_weapon_1;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_versus_less_weapon_2;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_0;【登\t陆\t艇\t】\t车\t辆\t人\t员\t登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_1;【登\t陆\t艇\t】\t车\t辆\t人\t员\t登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_2;登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_lite_0;【登\t陆\t艇\t】\t小\t型\t车\t辆\t人\t员\t登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_lite_1;【登\t陆\t艇\t】\t小\t型\t车\t辆\t人\t员\t登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_lite_2;登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_includes_0;【登\t陆\t艇\t】\t车\t辆\t人\t员\t登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_includes_1;【登\t陆\t艇\t】\t车\t辆\t人\t员\t登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lcvp_includes_2;登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lst_0;【登\t陆\t艇\t】\t坦\t克\t登\t陆\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_lst_1;【登\t陆\t艇\t】\t坦\t克\t登\t陆\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_lst_2;登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_lst_heavy_0;【登\t陆\t艇\t】\t重\t型\t坦\t克\t登\t陆\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_lst_heavy_1;【登\t陆\t艇\t】\t重\t型\t坦\t克\t登\t陆\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_lst_heavy_2;重\t型\t登\t陆\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_lst_includes_0;【登\t陆\t艇\t】\t坦\t克\t登\t陆\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_lst_includes_1;【登\t陆\t艇\t】\t坦\t克\t登\t陆\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_lst_includes_2;登\t陆\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_pt_109_0;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_pt_109_1;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_pt_109_2;巡\t逻\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_pt_109_lite_0;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_pt_109_lite_1;【巡\t逻\t艇\t】\tPT-109 号\t鱼\t雷\t艇;;;;;;;;;;;;;;;;;;;;
ships/uss_pt_109_lite_2;巡\t逻\t艇;;;;;;;;;;;;;;;;;;;;
ships/ussr_tb_g5_0;【巡\t逻\t艇\t】\tG-5 型\t鱼\t雷\t艇;;;;;;;;;;;;;;;;;;;;
ships/ussr_tb_g5_1;【巡\t逻\t艇\t】\tG-5 型\t鱼\t雷\t艇;;;;;;;;;;;;;;;;;;;;
ships/ussr_tb_g5_2;巡\t逻\t艇;;;;;;;;;;;;;;;;;;;;
ships/ussr_tb_g5_lite_0;【巡\t逻\t艇\t】\tG-5 型\t鱼\t雷\t艇;;;;;;;;;;;;;;;;;;;;
ships/ussr_tb_g5_lite_1;【巡\t逻\t艇\t】\tG-5 型\t鱼\t雷\t艇;;;;;;;;;;;;;;;;;;;;
ships/ussr_tb_g5_lite_2;巡\t逻\t艇;;;;;;;;;;;;;;;;;;;;
Destroyer_USSR_Type7_0;【驱\t逐\t舰\t】\t7 型\t（愤\t怒\t级）;;;;;;;;;;;;;;;;;;;;
Destroyer_USSR_Type7_1;【驱\t逐\t舰\t】\t7 型\t（愤\t怒\t级）;;;;;;;;;;;;;;;;;;;;
Destroyer_USSR_Type7_2;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/ijn_dd_shiratsuyu_0;【驱\t逐\t舰\t】\t白\t露\t级;;;;;;;;;;;;;;;;;;;;
ships/ijn_dd_shiratsuyu_1;【驱\t逐\t舰\t】\t白\t露\t级;;;;;;;;;;;;;;;;;;;;
ships/ijn_dd_shiratsuyu_2;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_sims_0;【驱\t逐\t舰\t】\t西\t姆\t斯\t级;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_sims_1;【驱\t逐\t舰\t】\t西\t姆\t斯\t级;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_sims_2;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_sims_noguns_0;【驱\t逐\t舰\t】\t西\t姆\t斯\t级;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_sims_noguns_1;【驱\t逐\t舰\t】\t西\t姆\t斯\t级;;;;;;;;;;;;;;;;;;;;
ships/uss_dd_sims_noguns_2;驱\t逐\t舰;;;;;;;;;;;;;;;;;;;;
ships/uss_ca_sanfrancisco_0;【重\t巡\t洋\t舰\t】\t“旧\t金\t山”\t号;;;;;;;;;;;;;;;;;;;;
ships/uss_ca_sanfrancisco_1;【重\t巡\t洋\t舰\t】\t“旧\t金\t山”\t号;;;;;;;;;;;;;;;;;;;;
ships/uss_ca_sanfrancisco_2;重\t巡\t洋\t舰;;;;;;;;;;;;;;;;;;;;
ships/ijn_ca_myoko_0;【重\t巡\t洋\t舰\t】\t“妙\t高”\t号;;;;;;;;;;;;;;;;;;;;
ships/ijn_ca_myoko_1;【重\t巡\t洋\t舰\t】\t“妙\t高”\t号;;;;;;;;;;;;;;;;;;;;
ships/ijn_ca_myoko_2;重\t巡\t洋\t舰;;;;;;;;;;;;;;;;;;;;
