<ID|readonly|noverify>;<Chinese>;<Comments>;<max_chars>
modification/shotgun_mossberg_590/desc;允\t许\t小\t队\t中\t的\t一\t名\t士\t兵\t额\t外\t装\t备 M590 霰\t弹\t枪。;;
modification/shotgun_ks_p;18.5 KS-K;;
modification/shotgun_ks_p/desc;允\t许\t小\t队\t中\t的\t一\t名\t士\t兵\t额\t外\t装\t备 18.5 KS-K 霰\t弹\t枪。;;
modification/machinegun_m240;M240B;;
modification/machinegun_m240/desc;允\t许\t小\t队\t中\t的\t一\t名\t士\t兵\t额\t外\t装\t备 M240B 通\t用\t机\t枪。;;
modification/machinegun_reapr;REAPR;;
modification/machinegun_reapr/desc;允\t许\t小\t队\t中\t的\t一\t名\t士\t兵\t额\t外\t装\t备 REAPR 通\t用\t机\t枪。;;
modification/machinegun_pkp_pecheneg;PKP\t“佩\t切\t涅\t格”;;
modification/machinegun_pkp_pecheneg/desc;允\t许\t小\t队\t中\t的\t一\t名\t士\t兵\t额\t外\t装\t备 PKP 通\t用\t机\t枪。;;
modification/at_laucher_rpg_7;RPG-7;;
modification/at_laucher_rpg_7/desc;允\t许\t小\t队\t中\t的\t一\t名\t士\t兵\t额\t外\t装\t备 RPG-7 反\t坦\t克\t武\t器。;;
modification/at_laucher_at_4;M136;;
modification/at_laucher_at_4/desc;允\t许\t小\t队\t中\t的\t一\t名\t士\t兵\t额\t外\t装\t备 M136 反\t坦\t克\t武\t器。;;
modification/mpads_igla;9K38\t“针”;;
modification/mpads_igla/desc;允\t许\t小\t队\t中\t的\t一\t名\t士\t兵\t额\t外\t装\t备 9K38 便\t携\t式\t防\t空\t系\t统。;;
modification/mpads_stinger;FIM-92A\t“毒刺”;;
modification/mpads_stinger/desc;允\t许\t小\t队\t中\t的\t一\t名\t士\t兵\t额\t外\t装\t备 FIM-92A 便\t携\t式\t防\t空\t系\t统。;;
modification/strike_drone;巡\t飞\t弹;;
modification/strike_drone/desc;允\t许\t小\t队\t中\t的\t一\t名\t士\t兵\t额\t外\t装\t备\t自\t杀\t式\t无\t人\t机。;;
modification/fpv_drone;FPV 无\t人\t机;;
modification/fpv_drone/desc;允\t许\t小\t队\t中\t的\t一\t名\t士\t兵\t额\t外\t装\t备 FPV 无\t人\t机。;;
modification/stun_grenade;震\t撼\t弹;;
modification/stun_grenade/desc;允\t许\t小\t队\t中\t的\t士\t兵\t装\t备\t震\t撼\t弹。;;
modification/smoke_grenade;烟\t雾\t弹;;
modification/smoke_grenade/desc;允\t许\t小\t队\t中\t的\t士\t兵\t装\t备\t烟\t雾\t弹。;;
modification/explosive_charge;炸\t药;;
modification/explosive_charge/desc;允\t许\t小\t队\t中\t的\t士\t兵\t装\t备\t遥\t控\t引\t爆\t炸\t药。;;
modification/sidearms_pistol_mp_443;MP443;;
modification/sidearms_pistol_mp_443/desc;为\t士\t兵\t装\t备 MP443 手\t枪\t作\t为\t副\t武\t器。;;
modification/sidearms_pistol_beretta_m9;M9;;
modification/sidearms_pistol_beretta_m9/desc;为\t士\t兵\t装\t备 M9 手\t枪\t作\t为\t副\t武\t器。;;
