<ID|readonly|noverify>;<Chinese>
weapons/cannonHispano404_turret;20 毫\t米\t伊\t斯\t帕\t诺\t-\t絮\t扎 HS.404 机\t炮
weapons/cannonHispanoMkII;20 毫\t米\t西\t斯\t帕\t诺 Mk II 机\t炮
weapons/cannonHispanoMkII_tutorial;20 毫\t米\t西\t斯\t帕\t诺 Mk II 机\t炮
weapons/cannonHispanoMkII_tutorial/short;西\t斯\t帕\t诺 Mk II
weapons/cannonHispanoMkV;20 毫\t米\t西\t斯\t帕\t诺 Mk V 机\t炮
weapons/cannonHispanoMkV_turret;20 毫\t米\t西\t斯\t帕\t诺 Mk V 机\t炮
weapons/cannonSAA;102 毫\t米\t/35 1914 型\t火\t炮
weapons/cannonVickers_S;40 毫\t米\t维\t克\t斯 S 级\t炮
weapons/cannonVickers_S_underwing;40 毫\t米\t维\t克\t斯 S 级\t炮
weapons/cannonVickers_P;47 毫\t米\t维\t克\t斯 P 级\t炮
weapons/gunVikkersMkI;7.7 毫\t米\t维\t克\t斯 Mk I 机\t枪
weapons/gunLMG0815;7.92 毫\t米 LMG 08/15 机\t枪
weapons/cannonAN_M2;20 毫\t米 AN/M2 机\t炮
weapons/cannonRollsRoyceBH;40 毫\t米\t罗\t尔\t斯\t-\t罗\t伊\t斯 BH 型\t机\t炮
weapons/cannonT31;20 毫\t米 T31 机\t炮
weapons/cannonAN_M3;20 毫\t米 AN/M3 机\t炮
weapons/cannonT_160;20 毫\t米 T-160 机\t炮
weapons/cannonM39;20 毫\t米 M39 机\t炮
weapons/cannonM24A1;20 毫\t米 M24A1 机\t炮
weapons/cannonGLAT_M621;20 毫\t米 GIAT M621 机\t炮
weapons/cannonGLAT_M791;20 毫\t米 GIAT 30 M791 机\t炮
weapons/gunHo103;12.7 毫\t米 Ho-103 固\t定\t机\t枪
weapons/gunHo104_turret;12.7 毫\t米 Ho-104 旋\t回\t机\t枪
weapons/gunHo103_turret;12.7 毫\t米 Ho-104 旋\t回\t机\t枪
weapons/cannonM4;37 毫\t米 M4 机\t炮
weapons/cannonM9;37 毫\t米 M9 机\t炮
weapons/gunMG131;13 毫\t米 MG 131 机\t枪
weapons/gunMG131_turret;13 毫\t米 MG 131 机\t枪
weapons/cannonMG15115;15 毫\t米 MG 151/15 机\t炮
weapons/cannonMG15115_underwing;15 毫\t米 MG 151/15 机\t炮
weapons/cannonMG15120;20 毫\t米 MG 151/20 机\t炮
weapons/cannonMG15120_underwing;20 毫\t米 MG 151/20 机\t炮
weapons/cannon_ff_k_45;20 毫\t米 FFK-HS-45 机\t炮
weapons/cannon_ff_k_45/short;FFK-HS-45
weapons/cannon_fm_k_45;20 毫\t米 FMK-HS-45 机\t炮
weapons/cannon_fm_k_45/short;FMK-HS-45
weapons/gun_fl_mg_27;7.5 毫\t米 Fl.MG 29 机\t枪
weapons/gun_fl_mg_27/short;Fl.MG 29
weapons/gun_mg_29_turret;7.5 毫\t米 Fl.MG 29 机\t枪
weapons/gun_mg_29_turret/short;Fl.MG 29
weapons/gunMG15;7.92 毫\t米 MG 15 机\t枪
weapons/gunMG14_turret;7.92 毫\t米 MG 14 机\t枪
weapons/gunMG14_turret/short;MG 14
weapons/gunMG17_turret;7.92 毫\t米 MG 17 机\t枪
weapons/gunMG15_turret;7.92 毫\t米 MG 15 机\t枪
weapons/gunType98_turret;7.92 毫\t米\t九\t八\t式\t旋\t回\t机\t枪
weapons/gun_type1_turret;7.92 毫\t米\t一\t式\t旋\t回\t机\t枪
weapons/gunType98;7.92 毫\t米\t九\t八\t式\t固\t定\t机\t枪
weapons/gunMG17;7.92 毫\t米 MG 17 机\t枪
weapons/gunMG81;7.92 毫\t米 MG 81 机\t枪
weapons/gunMG81_turret;7.92 毫\t米 MG 81 机\t枪
weapons/gunMG81_underwing;7.92 毫\t米 MG 81 机\t枪
weapons/cannonMGFF;20 毫\t米 MG FF 机\t炮
weapons/cannonMGFF_turret;20 毫\t米 MG FF/M 机\t炮
weapons/cannonMGFFM;20 毫\t米 MG FF/M 机\t炮
weapons/cannonMK103;30 毫\t米 MK 103 机\t炮
weapons/cannonMK101;30 毫\t米 MK 101 机\t炮
weapons/cannonMK101/short;MK 101
weapons/cannonMK108;30 毫\t米 MK 108 机\t炮
weapons/cannonMK103_underwing;30 毫\t米 MK 103 机\t炮
weapons/cannonMK103_underwing_go229;30 毫\t米 MK 103 机\t炮
weapons/cannonMK108_underwing;30 毫\t米 MK 108 机\t炮
weapons/cannonNR23;23 毫\t米 NR-23 机\t炮
weapons/cannonNR23_turret;23 毫\t米 NR-23 机\t炮
weapons/cannonType_23_1_plane_turret;23 毫\t米 23-1 型\t机\t炮
weapons/cannonNS23;23 毫\t米 NS-23 机\t炮
weapons/cannonNS23k;23 毫\t米 NS-23K 机\t炮
weapons/cannonNS37;37 毫\t米 NS-37 机\t炮
weapons/cannonNS37_su_6;37 毫\t米 NS-37 机\t炮
weapons/cannonNS37_assault;37 毫\t米 NS-37 机\t炮
weapons/cannonSH37;37 毫\t米 Sh-37 机\t炮
weapons/cannonSH37/short;Sh-37
weapons/cannonNS45;45 毫\t米 NS-45 机\t炮
weapons/cannonNS45_heavy_aircrafts;45 毫\t米 NS-45 机\t炮
weapons/cannonNS45_heavy_aircrafts/short;NS-45
weapons/cannonN37D;37 毫\t米 N-37D 机\t炮
weapons/cannonType37_1;37 毫\t米 37-1 型\t机\t炮
weapons/cannonN37;37 毫\t米 N-37 机\t炮
weapons/cannonB20;20 毫\t米 B-20 机\t炮
weapons/cannonB20S;20 毫\t米 B-20S 机\t炮
weapons/cannonB20M;20 毫\t米 B-20M 机\t炮
weapons/cannonB20_turret;20 毫\t米 B-20E 机\t炮
weapons/cannonBT20_turret;20 毫\t米 BT-20 机\t炮
weapons/gunShKAS;7.62 毫\t米\t施\t卡\t斯\t机\t枪
weapons/gunShKAS_turret;7.62 毫\t米\t施\t卡\t斯\t机\t枪
weapons/cannonShVAK;20 毫\t米\t施\t瓦\t克\t机\t炮
weapons/cannonShVAKS;20 毫\t米\t施\t瓦\t克\t机\t炮
weapons/cannonShVAK_turret;20 毫\t米\t施\t瓦\t克\t机\t炮
weapons/cannonShVAK_early;20 毫\t米\t施\t瓦\t克\t机\t炮
weapons/gunUB;12.7 毫\t米\t别\t列\t津 UB 机\t枪
weapons/gunUBK;12.7 毫\t米\t别\t列\t津 UBK 机\t枪
weapons/gunUBK_turret;12.7 毫\t米\t别\t列\t津 UBK 机\t枪
weapons/gunUB_turret;12.7 毫\t米\t别\t列\t津 UBT 机\t枪
weapons/gunTe-1_turret;7.7 毫\t米 Te-1 试\t制\t单\t枪\t身\t旋\t回\t机\t枪
weapons/gunVikkersK;7.7 毫\t米\t维\t克\t斯 K 型\t机\t枪
weapons/gunVikkersK_turret;7.7 毫\t米\t维\t克\t斯 K 型\t机\t枪
weapons/gunVikkersE;7.7 毫\t米\t维\t克\t斯 E 型\t机\t枪
weapons/cannonVYa;23 毫\t米 VYa-23 机\t炮
weapons/gunUBS;12.7 毫\t米\t别\t列\t津 UBS 机\t枪
weapons/gunType89;7.7 毫\t米\t八\t九\t式\t固\t定\t机\t枪
weapons/gunType89_turret;7.7 毫\t米\t八\t九\t式\t旋\t回\t机\t枪
weapons/gunTe4;7.7 毫\t米 Te-4 试\t制\t单\t枪\t身\t旋\t回\t机\t枪\t二\t型
weapons/gunType89s_turret;7.7 毫\t米\t八\t九\t式\t旋\t回\t机\t枪\t（特）
weapons/gunType92;7.7 毫\t米\t九\t二\t式\t固\t定\t机\t枪
weapons/gunType92_turret;7.7 毫\t米\t九\t二\t式\t旋\t回\t机\t枪
weapons/cannonType99Mk2;20 毫\t米\t九\t九\t式\t二\t号\t固\t定\t机\t炮
weapons/gunMAC39;7.5 毫\t米 MAC Mle 1934 机\t枪
weapons/gunMAC39_turret;7.5 毫\t米 MAC Mle 1934 机\t枪
weapons/cannonM10;37 毫\t米 M10 机\t炮
weapons/cannonmk103;30 毫\t米 MK 103 机\t炮
weapons/cannonmk108;30 毫\t米 MK 108 机\t炮
weapons/cannonBK5;50 毫\t米 BK 5 机\t炮
weapons/gunPV1;7.62 毫\t米 PV-1 机\t枪
weapons/gunBrowningFN_french;7.5 毫\t米 FN 勃\t朗\t宁\t机\t枪
weapons/gunFNBrowning_romania;7.92 毫\t米 FN-勃\t朗\t宁 M.36 机\t枪
weapons/gunFNBrowning303;7.92 毫\t米 FN-勃\t朗\t宁\t机\t枪
weapons/gunLewis;7.7 毫\t米\t刘\t易\t斯 Mk III 机\t枪
weapons/gunLewis_turret;7.7 毫\t米\t刘\t易\t斯 Mk III 机\t枪
weapons/cannon_for_pony;基\t♂\t友 Mk III 机\t炮
weapons/pony_rocket;爆\t♂\t竹\t-4 型\t火\t箭\t弹
weapons/de_sc50;50 千\t克 SC50JA 炸\t弹
weapons/de_sc50_default;50 千\t克 SC50JA 炸\t弹
weapons/de_sc50_default/short;SC50
weapons/de_sc250;250 千\t克 SC250JA 炸\t弹
weapons/de_sc250_default;250 千\t克 SC250JA 炸\t弹
weapons/de_sc250_default/short;SC250
weapons/de_sc500;500 千\t克 SC500K 炸\t弹
weapons/de_sc_ag300;300 千\t克 SC AG 炸\t弹
weapons/de_sc_ag300/short;SC AG
weapons/de_sc250_87;250 千\t克 SC250JA 炸\t弹
weapons/de_fx1400;PC 1400X\t“弗\t里\t茨 X”
weapons/de_hs_293a1;Hs 293 A-1
weapons/de_hs_293a1/short;Hs 293
weapons/de_sc500_87;500 千\t克 SC500K 炸\t弹
weapons/de_sc1800b;1,800 千\t克 SC1800B 炸\t弹
weapons/de_sc1000;1,000 千\t克 SC1000L2 炸\t弹
weapons/de_sc1000_default;1,000 千\t克 SC1000L2 炸\t弹
weapons/de_sc1000_default/short;SC1000
weapons/de_sd10a;10 千\t克 SD10C 炸\t弹
weapons/de_sd50;50 千\t克 SD50 炸\t弹
weapons/de_sd50/short;SD50
weapons/de_sd70;70 千\t克 SD70 炸\t弹
weapons/de_sd70/short;SD70
weapons/de_pc500_ap;500 千\t克 PC500 穿\t甲\t炸\t弹
weapons/de_pc500_ap/short;PC500
weapons/de_pd500_ap;500 千\t克 PD500 穿\t甲\t炸\t弹
weapons/de_pd500_ap/short;PD500
weapons/de_pc500_rs_ap;500 千\t克 PC500RS 火箭\t推\t进\t穿\t甲\t炸\t弹
weapons/de_pc500_rs_ap/short;PC500RS
weapons/de_pc1000_ap;1,000 千\t克 PC1000 穿\t甲\t炸\t弹
weapons/de_pc1000_ap/short;PC1000
weapons/de_pc1000_rs_ap;1,000 千\t克 PC1000RS 火箭\t推\t进\t穿\t甲\t炸\t弹
weapons/de_pc1000_rs_ap/short;PC1000RS
weapons/de_pc1600_ap;1,600 千\t克 PC1600 穿\t甲\t炸\t弹
weapons/de_pc1600_ap/short;PC1600
weapons/de_pc1800_rs_ap;1,800 千\t克 PC1800RS 火箭\t推\t进\t穿\t甲\t炸\t弹
weapons/de_pc1800_rs_ap/short;PC1800RS
weapons/de_250_matra_25e;250 千\t克 25E 型\t炸\t弹
weapons/de_250_matra_25e/short;25E 型
weapons/de_sc2500;2,500 千\t克 SC2500 炸\t弹
weapons/de_sc2500/short;SC2500
weapons/de_sb2500;2,500 千\t克 SB2500 炸\t弹
weapons/de_sb2500/short;SB2500
weapons/de_x4_ruhrstahl;Ru 344 X-4 空\t对\t空\t导\t弹
weapons/de_x4_ruhrstahl/short;X-4
weapons/fr_50kg_type_61c;50 千\t克 61C 型\t炸\t弹
weapons/fr_50kg_type_61c/short;61C 型
weapons/fr_750lb_m117_cone_90;750 磅 M117 炸\t弹\t（90 尾\t翼）
weapons/fr_750lb_m117_cone_45;750 磅 M117 炸\t弹\t（45 尾\t翼）
weapons/fr_750lb_m117_cone_90/short;M117
weapons/fr_750lb_m117_cone_45/short;M117
weapons/us_750lb_m117_cone_45;750 磅 M117 炸\t弹\t（45 尾\t翼）
weapons/us_750lb_m117_cone_45/short;M117
weapons/us_750lb_m117_cone_45_japan;750 磅 JM117 炸\t弹\t（45 尾\t翼）
weapons/us_750lb_m117_cone_45_japan/short;JM117
weapons/fr_matra_t_10_121b;T10 121 火\t箭\t弹
weapons/fr_matra_t_10_121a;T10 121 火\t箭\t弹
weapons/fr_matra_t_10_140b;T10 140 火\t箭\t弹
weapons/fr_matra_t_10_140a;T10 140 火\t箭\t弹
weapons/fr_matra_t_10_151b;T10 151 火\t箭\t弹
weapons/fr_matra_t_10_151a;T10 151 火\t箭\t弹
weapons/fr_sneb_type23;SNEB 23 型\t火\t箭\t弹
weapons/fr_sneb_type23_expo;SNEB 23 型\t火\t箭\t弹
weapons/fr_sneb_type23_late;SNEB 23 型\t火\t箭\t弹
weapons/fr_sneb_type23_late/short;SNEB 23 型
weapons/fr_sneb_type23_md_460;SNEB 23 型\t火\t箭\t弹
weapons/fr_sneb_type23_md_460/short;SNEB 23 型
weapons/fr_sneb_type26;SNEB 26 型\t火\t箭\t弹
weapons/fr_sneb_type26/short;SNEB 26 型
weapons/fr_sneb_type23s;SNEB 23 型\t火\t箭\t弹
weapons/fr_sneb_type23s/short;SNEB 23 型
weapons/fr_50kg_gammn;50 千\t克 G.A. MMN. 50 炸\t弹
weapons/fr_50kg_dt2;50 千\t克 D.T. 2 号\t炸\t弹
weapons/fr_100kg;100 千\t克 1 号\t炸\t弹
weapons/fr_200kg;200 千\t克 1 号\t炸\t弹
weapons/fr_500kg_3_1;500 千\t克 2 号\t炸\t弹
weapons/fr_250_samp_type_25;250 千\t克 SAMP 25 型\t炸\t弹
weapons/fr_250_samp_type_25/short;250 千\t克 25 型
weapons/fr_250_samp_type_25_default;250 千\t克 SAMP 25 型\t炸\t弹
weapons/fr_250_samp_type_25_default/short;250 千\t克 25 型
weapons/fr_400_samp_type_21;400 千\t克 SAMP 21 型\t炸\t弹
weapons/fr_400_samp_type_21/short;400 千\t克 21 型
weapons/fr_250_samp_type_25_200;250 千\t克 SAMP 25 200 型\t伞\t式\t减\t速\t高\t阻\t炸\t弹
weapons/fr_250_samp_type_25_200/short;250 千\t克 25 200 型
weapons/fr_400_samp_type_21_200;400 千\t克 SAMP 21 200 型\t伞\t式\t减\t速\t高\t阻\t炸\t弹
weapons/fr_400_samp_type_21_200/short;400 千\t克 21 200 型
weapons/it_800kg_gp;800 千\t克\t炸\t弹
weapons/fr_75kg_g2_navale;75 千\t克 G2 型\t炸\t弹
weapons/fr_75kg_g2_navale/short;G2 型\t炸\t弹
weapons/fr_150kg_i2_navale;150 千\t克 I2 型\t炸\t弹
weapons/fr_150kg_i2_navale/short;I2 型\t炸\t弹
weapons/it_250kg_gp;250 千\t克\t炸\t弹
weapons/it_150kg_ap;160 千\t克\t穿\t甲\t炸\t弹
weapons/it_100kg_m_vert;100 千\t克 100M 半\t穿\t甲\t炸\t弹
weapons/it_100kg_m;100 千\t克 100M 半\t穿\t甲\t炸\t弹
weapons/it_100kg_t_vert;100 千\t克 100T 炸\t弹
weapons/it_100kg_t;100 千\t克 100T 炸\t弹
weapons/it_50kg_t;50 千\t克\t炸\t弹
weapons/it_50kg_t_vert;50 千\t克\t炸\t弹
weapons/it_500kg_gp;500 千\t克\t炸\t弹
weapons/it_160kg_ap;160 千\t克\t穿\t甲\t炸\t弹
weapons/it_160kg_ap/short;AP 160
weapons/it_250kg_gp_stuka;250 千\t克\t炸\t弹
weapons/it_250kg_gp_stuka/short;GP 250
weapons/it_500kg_gp_stuka;500 千\t克\t炸\t弹
weapons/it_500kg_gp_stuka/short;GP 500
weapons/it_630kg_ap;630 千\t克 P.D 630 炸\t弹
weapons/it_630kg_ap/short;P.D 630
weapons/nld_50kg;50 千\t克\t炸\t弹
weapons/nld_50kg/short;50 千\t克
weapons/nld_100kg;100 千\t克\t炸\t弹
weapons/nld_100kg/short;100 千\t克
weapons/nld_300kg;300 千\t克\t炸\t弹
weapons/nld_300kg/short;300 千\t克
weapons/nld_400kg;400 千\t克\t炸\t弹
weapons/nld_400kg/short;400 千\t克
weapons/jp_mod25mark2;二\t五\t番\t通\t常\t爆\t弹\t二\t型\t（250 千\t克）
weapons/jp_mod50mark1;五\t〇\t番\t通\t常\t爆\t弹\t一\t型\t（500 千\t克）
weapons/jp_mod50mark2;五\t〇\t番\t通\t常\t爆\t弹\t二\t型 （500 千\t克）
weapons/jp_mod80mark1;八\t〇\t番\t通\t常\t爆\t弹\t一\t型\t（800 千\t克）
weapons/jp_type92mod25;九\t二\t式\t二\t五\t〇\t瓩\t爆\t弹\t（250 千\t克）
weapons/jp_type92mod50;九\t二\t式\t五\t〇\t〇\t瓩\t爆\t弹\t（500 千\t克）
weapons/jp_type94mod10;九\t四\t式\t一\t〇\t〇\t瓩\t爆\t弹\t（100 千\t克）
weapons/jp_type94mod5;九\t四\t式\t五\t〇\t瓩\t爆\t弹\t（50 千\t克）
weapons/jp_navy_type97mod6_60kg;九\t七\t式\t六\t番\t陆\t用\t爆\t弹\t（60 千\t克）
weapons/jp_navy_mod50mark1_500kg;二\t式\t五\t〇\t番\t通\t常\t爆\t弹\t一\t型\t（500 千\t克\t半\t穿\t甲）
weapons/jp_type97mod6;九\t七\t式\t六\t番\t陆\t用\t爆\t弹\t（60 千\t克）
weapons/jp_type98mod25;九\t八\t式\t二\t五\t番\t陆\t用\t爆\t弹\t（250 千\t克）
weapons/jp_type99mod25;九\t九\t式\t二\t五\t番\t通\t常\t爆\t弹\t一\t型\t（250 千\t克\t穿\t甲）
weapons/jp_type99mod80;九\t九\t式\t八\t〇\t番\t五\t号\t爆\t弹\t（800 千\t克\t穿\t甲）
weapons/jp_navy_mod25mark2_250kg;二\t五\t番\t通\t常\t爆\t弹\t二\t型\t（250 千\t克）
weapons/jp_navy_mod50mark2_500kg;五\t〇\t番\t通\t常\t爆\t弹\t二\t型\t（500 千\t克）
weapons/jp_navy_mod80mark1_800kg;八\t〇\t番\t通\t常\t爆\t弹\t一\t型\t（800 千\t克）
weapons/jp_navy_type99mod25_250kg;九\t九\t式\t二\t五\t番\t通\t常\t爆\t弹\t（250 千\t克）
weapons/jp_navy_type99mod80_800kg;九\t九\t式\t八\t〇\t番\t五\t号\t爆\t弹\t（800 千\t克\t穿\t甲）
weapons/jp_navy_mod25mark2_250kg_default;二\t五\t番\t通\t常\t爆\t弹\t二\t型\t（250 千\t克）
weapons/jp_navy_mod25mark2_250kg_default/short;250 千\t克
weapons/su_rds4;RDS-4 原\t子\t弹
weapons/su_rds4/short;☢\tRDS-4
weapons/us_mk6;Mark 6 原\t子\t弹
weapons/us_mk6/short;☢\tMark 6
weapons/us_mk7;Mark 7 原\t子\t弹
weapons/us_mk7/short;☢\tMark 7
weapons/fr_an52;AN-52 原\t子\t弹
weapons/fr_an52/short;☢\tAN-52
weapons/su_rn_28;RN-28 原\t子\t弹
weapons/su_rn_28/short;☢\tRN-28
weapons/us_b61;B61 原\t子\t弹
weapons/us_b61/short;☢\tB61
weapons/jp_ijnaf_type_3_number_150_1500kg_ap;三\t式\t一\t五\t〇\t番\t五\t号\t爆\t弹\t（1,500 千\t克\t穿\t甲）
weapons/jp_ijnaf_type_3_number_150_1500kg_ap/short;1500 千\t克
weapons/su_fab100;100 千\t克 FAB-100sv 炸\t弹\t（铸\t造）
weapons/su_fab_3000m_46;3,000 千\t克 FAB-3000 M-46 炸\t弹
weapons/su_fab_1500m_46;1,500 千\t克 FAB-1500 M-46 炸\t弹
weapons/su_fab_1000m_44;1,000 千\t克 FAB-1000 M-44 炸\t弹
weapons/su_fab_1000m_44/short;FAB-1000 M-44
weapons/su_fab_1000m_43;1,000 千\t克 FAB-1000 M-43 炸\t弹
weapons/su_fab_1000m_43/short;FAB-1000 M-43
weapons/su_fab_500m_44;500 千\t克 FAB-500 M-44 炸\t弹
weapons/su_fab_500m_44/short;FAB-500 M-44
weapons/su_fab_500m_43;500 千\t克 FAB-500 M-43 炸\t弹
weapons/su_fab_500m_43/short;FAB-500 M-43
weapons/su_fab_1500m_54;1,500 千\t克 FAB-1500 M-54 炸\t弹
weapons/su_fab_1500m_54/short;FAB-1500 M-54
weapons/su_fab_3000m_54;3,000 千\t克 FAB-3000 M-54 炸\t弹
weapons/su_fab_3000m_54/short;FAB-3000 M-54
weapons/us_special_weapon;马\t桶\t炸\t弹
weapons/us_special_weapon/short;马\t桶\t炸\t弹
weapons/su_zb_500;500 千\t克 ZB-500 燃\t烧\t弹
weapons/su_zb_500/short;ZB-500
weapons/su_zb_360;340 千\t克 ZB-360 燃\t烧\t弹
weapons/su_zb_360/short;ZB-360
weapons/us_blu27b;750 磅 BLU-27/B 燃\t烧\t弹
weapons/us_blu27b/short;BLU-27/B
weapons/us_blu_1;750 磅 BLU-1/B 燃\t烧\t弹
weapons/us_blu_1/short;BLU-1/B
weapons/br_binc_300;400 千\t克 BINC-300 燃\t烧\t弹
weapons/br_binc_300/short;BINC-300
weapons/sws_400kg_febb_napalmbombe;400 千\t克 FeBb 凝\t固\t汽\t油\t弹
weapons/sws_400kg_febb_napalmbombe/short;FeBb
weapons/us_500lb_mk77_mod2;500 磅 Mk 77 Mod 2 燃\t烧\t弹
weapons/us_500lb_mk77_mod2/short;Mk 77 Mod 2
weapons/us_500lb_mk77_mod4;500 磅 Mk 77 Mod 4 燃\t烧\t弹
weapons/us_500lb_mk77_mod4/short;Mk 77 Mod 4
weapons/de_flam_250;250 千\t克 Flamm C 250 燃\t烧\t弹
weapons/de_flam_250/short;C 250
